Person Name,Projekt Name,Projekt Link
Professor Dr. Peer  Bork,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Peer  Bork,Molekularbiologie,/gepris/projekt/5413368
Professor Dr. Thomas  Clavel,Ökologie und Funktionen kleiner SCIFF-Proteine im Darmmikrobiom,/gepris/projekt/453182863
Professor Dr. Thomas  Clavel,Kausale Rolle des Gallensäuremetabolismus durch das Mikrobiom bei Dickdarmkrebs,/gepris/projekt/453229399
Professor Dr. Thomas  Clavel,Personalisierte Wirkung von Antibiotika auf das Darmmikrobiom mittels Hoch-Durchsatz Kultivierung,/gepris/projekt/513892404
Professor Dr. Thomas  Clavel,Funktionen und metabolische Adaptation von dominanten Darmbakterien der Familie Coriobacteriaceae im Kontext des Lipidmetabolismus des Wirtes,/gepris/projekt/242504939
Professor Dr. Thomas  Clavel,"- MIMIC -
Komplementäre Nutzung von innovativen kulturbasierten und molekularen Methoden zur Herstellung von Minimalen Mikrobiellen Konsortien",/gepris/projekt/316102599
Professor Dr. Thomas  Clavel,Funktionelle Analyse der Mikrobiom-Wirt Interaktion während des postnatalen „window of opportunity“ mithilfe eines mehrdimensionalen Sequenzieransatzes,/gepris/projekt/418004173
Professor Dr. Thomas  Clavel,Plattform zur automatisierten Isolierung und Charakterisierung von anaeroben Bakterien,/gepris/projekt/445552570
Professor Dr. Thomas  Clavel,Perinatale Interaktionen zwischen Mikrobiom und intestinalen Makrophagen bei der Kontrolle mukosaler Pathogene,/gepris/projekt/516780480
Professor Dr. Thomas  Clavel,Gezieltes Design und Manipulation bakterieller Minimalkonsortien zum gezielten Austausch in Mikrobiomen,/gepris/projekt/418598556
Professor Dr. Thomas  Clavel,Gnotobiotische Mausmodelle und minimale bakterielle Konsortien,/gepris/projekt/418603037
Professor Dr. Thomas  Clavel,Effekte des mikrobiellen Lipidstoffwechsels auf die Darm-Leber Achse,/gepris/projekt/424650015
Professor Dr. Thomas  Clavel,Funktionelle Mikrobiom-Analyse,/gepris/projekt/424795268
Professor Dr. Thomas  Clavel,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Alexander  Goesmann,Bioinformatische Methoden zur Analyse der mutualistischen RNA-Kommunikation,/gepris/projekt/447603908
Professor Dr. Alexander  Goesmann,Bioinformatische Workflows zur skalierbaren Analyse von pflanzlichen “Omics”-Daten in Cloud-Computing-Umgebungen,/gepris/projekt/456668568
Professor Dr. Alexander  Goesmann,Evolution von Gennetzwerken: Die Ranunculales als Modellordnung für evolutionäre Innovationen,/gepris/projekt/458957343
Professor Dr. Alexander  Goesmann,Core Unit - Genom Signaturen und integrierte Systembiologie der Pathogen-Wirts Interaktion,/gepris/projekt/319835486
Professor Dr. Alexander  Goesmann,"GRK 2355: Regulatorische Netzwerke im mRNA-Lebenszyklus:
von kodierenden zu nichtkodierenden RNAs",/gepris/projekt/325443116
Professor Dr. Alexander  Goesmann,GRK 1906: Informatische Methoden für die Analyse von Genomdiversität und -dynamik,/gepris/projekt/221270173
Professor Dr. Alexander  Goesmann,Bioinformatische Analyse genomweiter Datensätze,/gepris/projekt/183605059
Professor Dr. Alexander  Goesmann,"KFO 309: Virus-induced Lung Injury:
Pathobiology and Novel Therapeutic Strategies",/gepris/projekt/284237345
Professor Dr. Alexander  Goesmann,"NFDI4Biodiversität – Nationale Forschungsdateninfrastruktur für Biodiversitäts-, Ökologie- und Umweltdaten",/gepris/projekt/442032008
Professor Dr. Alexander  Goesmann,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Alexander  Goesmann,"Genom-weite Untersuchungen zur Artbildung unter sympatrischen Bedingungen in einem marinen Säuger: demographische Entwicklungsgeschichte, Populationsstruktur und lokale Anpassung im vom Aussterben bedrohten Galapagos Seelöwen",/gepris/projekt/255821879
Professor Dr. Alexander  Goesmann,Die Rolle von SOCS1 Mutationen bei der Pathogenese von Hodgkin Lymphomen und Diffus großzelligen B-Zell Lymphomen,/gepris/projekt/507302435
Professor Dr. Alexander  Goesmann,Nukleosom-Präservierung in Säugetier-Spermien: ein epigenetisches Programm zur Wahrung der gesunden männlichen Reproduktion,/gepris/projekt/270041755
Professor Dr. Alexander  Goesmann,Untersuchung der Mechanismen für die Stabilität von mcr-1-kodierenden IncX4-Mechanismen,/gepris/projekt/491261247
